packets_per_second,bytes_per_second,packet_size_mean,src_ip_entropy,dst_ip_entropy,delta_src_ip_entropy,delta_dst_ip_entropy,TTL_entropy,tcp_src_port_entropy,tcp_dst_port_entropy,udp_src_port_entropy,udp_dst_port_entropy,packet_size_entropy,sip_dip_entropy,sip_dport_entropy,dport_dip_entropy,deviation
89.78,6707.06,74.7,1.58,0.0,1.58,0.0,0.0,4.58,1.0,3.7,0.0,1.58,1.58,0.0,1.58,0.1111
56.18,4269.42,76.0,1.58,0.0,1.58,0.0,0.0,7.21,1.0,6.21,0.0,1.58,1.58,0.0,1.58,0.0733
56.61,4281.72,75.64,1.62,0.04,2.0,1.0,0.04,7.21,1.0,6.23,0.1,1.62,1.58,0.0,1.58,0.0681
73.87,6123.12,82.89,1.67,0.1,1.83,0.32,0.07,7.61,1.0,6.61,0.16,1.67,1.57,0.0,1.57,0.0565
64.08,5217.53,81.42,1.62,0.04,1.71,0.17,0.0,7.39,1.0,6.41,0.0,1.62,1.58,0.0,1.58,0.082
74.24,5490.92,73.96,1.68,0.12,1.91,0.53,0.0,7.56,1.2,6.61,0.0,1.58,1.56,0.0,1.6,0.0232
86.95,7316.58,84.15,1.63,0.05,1.78,0.22,0.0,7.84,1.0,6.83,0.0,1.63,1.58,0.0,1.58,0.0255
61.19,4659.49,76.15,1.58,0.0,1.58,0.0,0.0,7.33,1.0,6.34,0.0,1.58,1.58,0.0,1.58,0.0662
71.1,5391.88,75.83,1.58,0.0,1.58,0.0,0.0,7.55,1.0,6.57,0.0,1.58,1.58,0.0,1.58,0.0598
52.57,4389.0,83.48,1.62,0.04,1.66,0.1,0.0,7.12,1.0,6.09,0.0,1.62,1.58,0.0,1.58,0.0429
65.93,5010.42,76.0,1.58,0.0,1.58,0.0,0.0,7.44,1.0,6.44,0.0,1.58,1.58,0.0,1.58,0.0402
74.65,6030.78,80.79,1.61,0.03,1.73,0.19,0.0,7.61,1.0,6.63,0.0,1.61,1.58,0.0,1.58,0.034
69.1,5230.25,75.69,1.58,0.0,1.57,0.0,0.0,7.52,1.0,6.52,0.0,1.58,1.58,0.0,1.58,0.0512
85.68,6520.6,76.11,1.58,0.0,1.58,0.0,0.0,7.83,1.0,6.83,0.0,1.58,1.58,0.0,1.58,0.0604
70.81,5354.61,75.62,1.61,0.03,1.68,0.12,0.03,7.53,1.0,6.55,0.08,1.61,1.58,0.0,1.58,0.0595
80.56,6507.1,80.77,1.64,0.06,1.83,0.32,0.03,7.73,1.0,6.74,0.08,1.64,1.58,0.0,1.58,0.0465
62.69,4896.86,78.11,1.68,0.11,1.82,0.3,0.08,7.33,1.0,6.43,0.18,1.68,1.57,0.0,1.57,0.0775
59.35,4856.88,81.83,1.62,0.04,1.55,0.39,0.0,7.29,1.0,6.25,0.0,1.62,1.58,0.0,1.58,0.0249
84.59,7139.85,84.4,1.63,0.05,1.71,0.08,0.0,7.81,1.0,6.78,0.0,1.63,1.58,0.0,1.58,0.0519
71.83,6672.76,92.9,1.7,0.12,1.96,0.26,0.03,7.56,1.0,6.54,0.09,1.68,1.58,0.0,1.58,0.0625
72.76,5653.59,77.7,1.58,0.0,1.35,0.0,0.0,7.62,1.0,6.52,0.0,1.58,1.58,0.0,1.58,0.0388
79.37,6084.39,76.66,1.61,0.03,1.68,0.24,0.03,7.71,1.0,6.71,0.08,1.61,1.58,0.0,1.58,0.0471
72.4,5953.9,82.23,1.64,0.07,1.9,0.42,0.03,7.57,1.0,6.58,0.08,1.64,1.57,0.0,1.58,0.0366
76.85,5800.82,75.49,1.58,0.0,1.43,0.0,0.0,7.67,1.0,6.66,0.0,1.58,1.58,0.0,1.58,0.045
81.57,6463.88,79.24,1.65,0.09,2.06,0.85,0.06,7.74,1.0,6.77,0.15,1.66,1.57,0.0,1.57,0.0357
71.0,5688.93,80.13,1.74,0.22,2.01,0.78,0.0,7.48,1.3,6.52,0.0,1.61,1.54,0.0,1.59,0.0337
